"Synthetic_significant";"Chromosome"
"sample_Chr1_Trisomy10";"Chr1"
"sample_Chr1_Trisomy20";"Chr1"
"sample_Chr1_Monosomy20";"Chr1"
"sample_Chr1_Trisomy30";"Chr1"
"sample_Chr1_Monosomy30";"Chr1"
"sample_Chr1_Trisomy40";"Chr1"
"sample_Chr1_Monosomy40";"Chr1"
"sample_Chr1_Trisomy50";"Chr1"
"sample_Chr1_Monosomy50";"Chr1"
"sample_Chr1_Trisomy60";"Chr1"
"sample_Chr1_Monosomy60";"Chr1"
"sample_Chr1_Trisomy70";"Chr1"
"sample_Chr1_Monosomy70";"Chr1"
"sample_Chr1_Trisomy80";"Chr1"
"sample_Chr1_Monosomy80";"Chr1"
"sample_Chr1_Trisomy90";"Chr1"
"sample_Chr1_Monosomy90";"Chr1"
"sample_Chr1_Trisomy100";"Chr1"
"sample_Chr1_Monosomy100";"Chr1"
"sample_Chr2_Trisomy20";"Chr2"
"sample_Chr2_Monosomy20";"Chr2"
"sample_Chr2_Trisomy30";"Chr2"
"sample_Chr2_Monosomy30";"Chr2"
"sample_Chr2_Trisomy40";"Chr2"
"sample_Chr2_Monosomy40";"Chr2"
"sample_Chr2_Trisomy50";"Chr2"
"sample_Chr2_Monosomy50";"Chr2"
"sample_Chr2_Trisomy60";"Chr2"
"sample_Chr2_Monosomy60";"Chr2"
"sample_Chr2_Trisomy70";"Chr2"
"sample_Chr2_Monosomy70";"Chr2"
"sample_Chr2_Trisomy80";"Chr2"
"sample_Chr2_Monosomy80";"Chr2"
"sample_Chr2_Trisomy90";"Chr2"
"sample_Chr2_Monosomy90";"Chr2"
"sample_Chr2_Trisomy100";"Chr2"
"sample_Chr2_Monosomy100";"Chr2"
"sample_Chr3_Trisomy20";"Chr3"
"sample_Chr3_Monosomy20";"Chr3"
"sample_Chr3_Trisomy30";"Chr3"
"sample_Chr3_Monosomy30";"Chr3"
"sample_Chr3_Trisomy40";"Chr3"
"sample_Chr3_Monosomy40";"Chr3"
"sample_Chr3_Trisomy50";"Chr3"
"sample_Chr3_Monosomy50";"Chr3"
"sample_Chr3_Trisomy60";"Chr3"
"sample_Chr3_Monosomy60";"Chr3"
"sample_Chr3_Trisomy70";"Chr3"
"sample_Chr3_Monosomy70";"Chr3"
"sample_Chr3_Trisomy80";"Chr3"
"sample_Chr3_Monosomy80";"Chr3"
"sample_Chr3_Trisomy90";"Chr3"
"sample_Chr3_Monosomy90";"Chr3"
"sample_Chr3_Trisomy100";"Chr3"
"sample_Chr3_Monosomy100";"Chr3"
"sample_Chr4_Trisomy10";"Chr4"
"sample_Chr4_Monosomy10";"Chr4"
"sample_Chr4_Trisomy20";"Chr4"
"sample_Chr4_Monosomy20";"Chr4"
"sample_Chr4_Trisomy30";"Chr4"
"sample_Chr4_Monosomy30";"Chr4"
"sample_Chr4_Trisomy40";"Chr4"
"sample_Chr4_Monosomy40";"Chr4"
"sample_Chr4_Trisomy50";"Chr4"
"sample_Chr4_Monosomy50";"Chr4"
"sample_Chr4_Trisomy60";"Chr4"
"sample_Chr4_Monosomy60";"Chr4"
"sample_Chr4_Trisomy70";"Chr4"
"sample_Chr4_Monosomy70";"Chr4"
"sample_Chr4_Trisomy80";"Chr4"
"sample_Chr4_Monosomy80";"Chr4"
"sample_Chr4_Trisomy90";"Chr4"
"sample_Chr4_Monosomy90";"Chr4"
"sample_Chr4_Trisomy100";"Chr4"
"sample_Chr4_Monosomy100";"Chr4"
"sample_Chr5_Trisomy10";"Chr5"
"sample_Chr5_Trisomy20";"Chr5"
"sample_Chr5_Monosomy20";"Chr5"
"sample_Chr5_Trisomy30";"Chr5"
"sample_Chr5_Monosomy30";"Chr5"
"sample_Chr5_Trisomy40";"Chr5"
"sample_Chr5_Monosomy40";"Chr5"
"sample_Chr5_Trisomy50";"Chr5"
"sample_Chr5_Monosomy50";"Chr5"
"sample_Chr5_Trisomy60";"Chr5"
"sample_Chr5_Monosomy60";"Chr5"
"sample_Chr5_Trisomy70";"Chr5"
"sample_Chr5_Monosomy70";"Chr5"
"sample_Chr5_Trisomy80";"Chr5"
"sample_Chr5_Monosomy80";"Chr5"
"sample_Chr5_Trisomy90";"Chr5"
"sample_Chr5_Monosomy90";"Chr5"
"sample_Chr5_Trisomy100";"Chr5"
"sample_Chr5_Monosomy100";"Chr5"
"sample_Chr6_Trisomy10";"Chr6"
"sample_Chr6_Trisomy20";"Chr6"
"sample_Chr6_Monosomy20";"Chr6"
"sample_Chr6_Trisomy30";"Chr6"
"sample_Chr6_Monosomy30";"Chr6"
"sample_Chr6_Trisomy40";"Chr6"
"sample_Chr6_Monosomy40";"Chr6"
"sample_Chr6_Trisomy50";"Chr6"
"sample_Chr6_Monosomy50";"Chr6"
"sample_Chr6_Trisomy60";"Chr6"
"sample_Chr6_Monosomy60";"Chr6"
"sample_Chr6_Trisomy70";"Chr6"
"sample_Chr6_Monosomy70";"Chr6"
"sample_Chr6_Trisomy80";"Chr6"
"sample_Chr6_Monosomy80";"Chr6"
"sample_Chr6_Trisomy90";"Chr6"
"sample_Chr6_Monosomy90";"Chr6"
"sample_Chr6_Trisomy100";"Chr6"
"sample_Chr6_Monosomy100";"Chr6"
"sample_Chr7_Monosomy10";"Chr7"
"sample_Chr7_Trisomy20";"Chr7"
"sample_Chr7_Monosomy20";"Chr7"
"sample_Chr7_Trisomy30";"Chr7"
"sample_Chr7_Monosomy30";"Chr7"
"sample_Chr7_Trisomy40";"Chr7"
"sample_Chr7_Monosomy40";"Chr7"
"sample_Chr7_Trisomy50";"Chr7"
"sample_Chr7_Monosomy50";"Chr7"
"sample_Chr7_Trisomy60";"Chr7"
"sample_Chr7_Monosomy60";"Chr7"
"sample_Chr7_Trisomy70";"Chr7"
